shows the number of active trajectories after some filter
experiment, True, Tracked, OneGroup, FramesThreshold, Remains
0W1000C10B, 10, 18, 18, 900, 15
0W1000C15B, 15, 64, 64, 1400, 20
0W1000C1B, 1, 2, 2, 100, 2
0W1000C20B, 20, 85, 85, 2000, 25
0W1000C25B, 25, 225, 225, 2100, 30
0W1000C2B, 2, 2, 2, 100, 2
0W1000C5B, 5, 9, 9, 100, 9
0W100C10B, 10, 26, 26, 1000, 14
0W100C15B, 15, 30, 30, 1500, 20
0W100C1B, 1, 2, 2, 100, 2
0W100C20B, 20, 54, 54, 1800, 23
0W100C25B, 25, 28, 28, 100, 28
0W100C2B, 2, 4, 4, 100, 4
0W100C5B, 5, 14, 14, 1700, 9
0W1100C10B, 10, 34, 34, 1500, 13
0W1100C15B, 15, 59, 59, 1800, 19
0W1100C1B, 1, 1, 1, 100, 1
0W1100C20B, 20, 94, 94, 2000, 25
0W1100C25B, 25, 130, 130, 2300, 29
0W1100C2B, 2, 2, 2, 100, 2
0W1100C5B, 5, 14, 14, 200, 10
0W1200C10B, 10, 46, 46, 1400, 15
0W1200C15B, 15, 70, 70, 1700, 20
0W1200C1B, 1, 1, 1, 100, 1
0W1200C20B, 20, 90, 90, 2100, 21
0W1200C25B, 25, 152, 152, 2200, 30
0W1200C2B, 2, 5, 5, 100, 5
0W1200C5B, 5, 7, 7, 100, 7
0W1300C10B, 10, 20, 20, 600, 14
0W1300C15B, 15, 81, 81, 1800, 17
0W1300C1B, 1, 1, 1, 100, 1
0W1300C20B, 20, 130, 130, 1700, 21
0W1300C25B, 25, 96, 96, 1000, 28
0W1300C2B, 2, 4, 4, 100, 4
0W1300C5B, 5, 15, 15, 400, 10
0W200C10B, 10, 11, 11, 100, 11
0W200C16B, 16, 18, 18, 100, 18
0W200C1B, 1, 1, 1, 100, 1
0W200C21B, 21, 23, 23, 100, 23
0W200C26B, 26, 37, 37, 1200, 31
0W200C2B, 2, 2, 2, 100, 2
0W200C5B, 5, 6, 6, 100, 6
0W300C10B, 10, 12, 12, 100, 12
0W300C15B, 15, 15, 15, 100, 15
0W300C1B, 1, 1, 1, 100, 1
0W300C20B, 20, 21, 21, 100, 21
0W300C25B, 25, 38, 38, 1400, 30
0W300C2B, 2, 2, 2, 100, 2
0W300C5B, 5, 5, 5, 100, 5
0W400C10B, 10, 10, 10, 100, 10
0W400C15B, 15, 16, 16, 100, 16
0W400C1B, 1, 1, 1, 100, 1
0W400C20B, 20, 24, 24, 100, 24
0W400C25B, 25, 60, 60, 1100, 30
0W400C2B, 2, 2, 2, 100, 2
0W400C5B, 5, 5, 5, 100, 5
0W500C10B, 10, 10, 10, 100, 10
0W500C15B, 15, 19, 19, 100, 19
0W500C1B, 1, 1, 1, 100, 1
0W500C20B, 20, 31, 31, 2600, 23
0W500C25B, 25, 52, 52, 1200, 30
0W500C2B, 2, 2, 2, 100, 2
0W500C5B, 5, 5, 5, 100, 5
0W600C10B, 10, 12, 12, 100, 12
0W600C15B, 15, 21, 21, 200, 19
0W600C1B, 1, 2, 2, 100, 2
0W600C20B, 20, 33, 33, 1200, 25
0W600C25B, 25, 45, 45, 2200, 30
0W600C2B, 2, 3, 3, 100, 3
0W600C5B, 5, 8, 8, 100, 8
0W700C10B, 10, 13, 13, 100, 13
0W700C15B, 15, 25, 25, 2000, 19
0W700C1B, 1, 1, 1, 100, 1
0W700C20B, 20, 33, 33, 1100, 24
0W700C25B, 25, 66, 66, 3000, 29
0W700C2B, 2, 2, 2, 100, 2
0W700C5B, 5, 8, 8, 100, 8
0W800C10B, 10, 24, 24, 2000, 15
0W800C15B, 15, 23, 23, 600, 20
0W800C1B, 1, 1, 1, 100, 1
0W800C20B, 20, 69, 69, 2000, 23
0W800C25B, 25, 128, 128, 2400, 29
0W800C2B, 2, 5, 5, 100, 5
0W800C5B, 5, 6, 6, 100, 6
0W900C10B, 10, 30, 30, 1500, 14
0W900C15B, 15, 38, 38, 1900, 18
0W900C1B, 1, 3, 3, 100, 3
0W900C20B, 20, 49, 49, 1500, 24
0W900C25B, 25, 142, 142, 2400, 30
0W900C2B, 2, 3, 3, 100, 3
0W900C5B, 5, 5, 5, 100, 5
1W1000C10B, 10, 34, 34, 500, 14
1W1000C15B, 15, 49, 49, 1500, 20
1W1000C1B, 1, 1, 1, 100, 1
1W1000C20B, 20, 139, 139, 1600, 25
1W1000C25B, 25, 142, 142, 2900, 30
1W1000C2B, 2, 4, 4, 100, 4
1W1000C5B, 5, 7, 7, 100, 7
1W100C10B, 10, 10, 10, 100, 10
1W100C15B, 15, 22, 22, 1200, 20
1W100C1B, 1, 1, 1, 100, 1
1W100C20B, 20, 30, 30, 2100, 22
1W100C25B, 25, 81, 81, 3000, 30
1W100C2B, 2, 2, 2, 100, 2
1W100C5B, 5, 6, 6, 100, 6
1W1100C10B, 10, 13, 13, 100, 13
1W1100C15B, 15, 51, 51, 1000, 19
1W1100C1B, 1, 3, 3, 100, 3
1W1100C20B, 20, 54, 54, 1800, 25
1W1100C25B, 25, 204, 204, 1800, 29
1W1100C2B, 2, 2, 2, 100, 2
1W1100C5B, 5, 9, 9, 100, 9
1W1200C10B, 10, 67, 67, 1100, 15
1W1200C15B, 15, 69, 69, 800, 19
1W1200C1B, 1, 1, 1, 100, 1
1W1200C20B, 20, 76, 76, 1100, 25
1W1200C25B, 25, 179, 179, 1200, 29
1W1200C2B, 2, 24, 24, 200, 5
1W1200C5B, 5, 65, 65, 600, 10
1W1300C10B, 10, 77, 77, 700, 13
1W1300C15B, 15, 208, 208, 400, 20
1W1300C1B, 1, 1, 1, 100, 1
1W1300C20B, 20, 394, 394, 400, 23
1W1300C25B, 25, 555, 555, 700, 30
1W1300C2B, 2, 2, 2, 100, 2
1W1300C5B, 5, 5, 5, 100, 5
1W200C10B, 10, 14, 14, 100, 14
1W200C15B, 15, 17, 17, 100, 17
1W200C1B, 1, 1, 1, 100, 1
1W200C20B, 20, 28, 28, 1500, 25
1W200C25B, 25, 43, 43, 1600, 30
1W200C2B, 2, 2, 2, 100, 2
1W200C5B, 5, 5, 5, 100, 5
1W300C10B, 10, 14, 14, 100, 14
1W300C15B, 15, 19, 19, 100, 19
1W300C1B, 1, 2, 2, 100, 2
1W300C20B, 20, 25, 25, 100, 25
1W300C25B, 25, 43, 43, 2700, 26
1W300C2B, 2, 3, 3, 100, 3
1W300C5B, 5, 6, 6, 100, 6
1W400C10B, 10, 14, 14, 100, 14
1W400C15B, 15, 21, 21, 1000, 19
1W400C1B, 1, 1, 1, 100, 1
1W400C20B, 20, 25, 25, 100, 25
1W400C25B, 25, 41, 41, 1500, 30
1W400C2B, 2, 2, 2, 100, 2
1W400C5B, 5, 6, 6, 100, 6
1W500C10B, 10, 10, 10, 100, 10
1W500C15B, 15, 29, 29, 800, 20
1W500C1B, 1, 1, 1, 100, 1
1W500C20B, 20, 32, 32, 2000, 25
1W500C25B, 25, 32, 32, 1200, 30
1W500C2B, 2, 3, 3, 100, 3
1W500C5B, 5, 5, 5, 100, 5
1W600C10B, 10, 12, 12, 100, 12
1W600C15B, 15, 18, 18, 100, 18
1W600C1B, 1, 1, 1, 100, 1
1W600C20B, 20, 74, 74, 1100, 25
1W600C25B, 25, 53, 53, 2700, 30
1W600C2B, 2, 3, 3, 100, 3
1W600C5B, 5, 5, 5, 100, 5
1W700C10B, 10, 12, 12, 100, 12
1W700C15B, 15, 26, 26, 1300, 20
1W700C1B, 1, 1, 1, 100, 1
1W700C20B, 20, 54, 54, 1600, 22
1W700C25B, 25, 77, 77, 2200, 29
1W700C2B, 2, 4, 4, 100, 4
1W700C5B, 5, 9, 9, 100, 9
1W800C10B, 10, 19, 19, 1600, 15
1W800C15B, 15, 25, 25, 600, 18
1W800C1B, 1, 1, 1, 100, 1
1W800C20B, 20, 85, 85, 1500, 25
1W800C25B, 25, 193, 193, 2200, 28
1W800C2B, 2, 5, 5, 100, 5
1W800C5B, 5, 10, 10, 100, 10
1W900C10B, 10, 20, 20, 800, 15
1W900C15B, 15, 52, 52, 1700, 18
1W900C1B, 1, 2, 2, 100, 2
1W900C20B, 20, 79, 79, 2100, 24
1W900C25B, 25, 234, 234, 2100, 29
1W900C2B, 2, 3, 3, 100, 3
1W900C5B, 5, 12, 12, 600, 9
2W1000C10B, 10, 21, 21, 1600, 13
2W1000C15B, 15, 22, 22, 1700, 17
2W1000C1B, 1, 1, 1, 100, 1
2W1000C20B, 20, 156, 156, 1000, 23
2W1000C25B, 25, 325, 325, 1000, 27
2W1000C2B, 2, 2, 2, 100, 2
2W1000C5B, 5, 5, 5, 100, 5
2W100C10B, 10, 16, 16, 300, 15
2W100C15B, 15, 29, 29, 1900, 20
2W100C1B, 1, 1, 1, 100, 1
2W100C20B, 20, 50, 50, 3600, 25
2W100C25B, 25, 46, 46, 1600, 29
2W100C2B, 2, 2, 2, 100, 2
2W100C5B, 5, 8, 8, 100, 8
2W1100C10B, 10, 25, 25, 300, 15
2W1100C15B, 15, 19, 19, 100, 19
2W1100C1B, 1, 1, 1, 100, 1
2W1100C20B, 20, 114, 114, 1300, 25
2W1100C25B, 25, 154, 154, 2300, 30
2W1100C2B, 2, 3, 3, 100, 3
2W1100C5B, 5, 5, 5, 100, 5
2W1200C10B, 10, 137, 137, 500, 11
2W1200C15B, 15, 98, 98, 700, 19
2W1200C1B, 1, 1, 1, 100, 1
2W1200C20B, 20, 285, 285, 600, 24
2W1200C25B, 25, 279, 279, 1600, 30
2W1200C2B, 2, 2, 2, 100, 2
2W1200C5B, 5, 32, 32, 1400, 10
2W1300C10B, 10, 99, 99, 400, 12
2W1300C15B, 15, 346, 346, 500, 20
2W1300C1B, 1, 1, 1, 100, 1
2W1300C20B, 20, 335, 335, 500, 15
2W1300C24B, 20, 356, 356, 800, 22
2W1300C2B, 2, 2, 2, 100, 2
2W1300C5B, 5, 16, 16, 300, 10
2W200C10B, 10, 12, 12, 100, 12
2W200C15B, 15, 17, 17, 100, 17
2W200C1B, 1, 2, 2, 100, 2
2W200C20B, 20, 33, 33, 1800, 25
2W200C25B, 25, 39, 39, 2000, 29
2W200C2B, 2, 4, 4, 100, 4
2W200C5B, 5, 7, 7, 100, 7
2W300C10B, 10, 15, 15, 100, 15
2W300C15B, 15, 19, 19, 100, 19
2W300C1B, 1, 2, 2, 100, 2
2W300C20B, 20, 30, 30, 1100, 25
2W300C25B, 25, 71, 71, 2300, 30
2W300C2B, 2, 3, 3, 100, 3
2W300C5B, 5, 6, 6, 100, 6
2W400C10B, 10, 11, 11, 100, 11
2W400C15B, 15, 18, 18, 100, 18
2W400C1B, 1, 1, 1, 100, 1
2W400C20B, 20, 21, 21, 100, 21
2W400C25B, 25, 60, 60, 1800, 30
2W400C2B, 2, 3, 3, 100, 3
2W400C5B, 5, 7, 7, 100, 7
2W500C10B, 10, 10, 10, 100, 10
2W500C15B, 15, 32, 32, 800, 20
2W500C1B, 1, 1, 1, 100, 1
2W500C20B, 20, 47, 47, 1800, 23
2W500C25B, 25, 60, 60, 1500, 30
2W500C2B, 2, 2, 2, 100, 2
2W500C5B, 5, 5, 5, 100, 5
2W600C10B, 10, 28, 28, 1700, 15
2W600C15B, 15, 34, 34, 1100, 17
2W600C1B, 1, 1, 1, 100, 1
2W600C20B, 20, 65, 65, 2100, 25
2W600C25B, 25, 145, 145, 2300, 30
2W600C2B, 2, 2, 2, 100, 2
2W600C5B, 5, 7, 7, 100, 7
2W700C10B, 10, 26, 26, 1600, 15
2W700C15B, 15, 42, 42, 2100, 20
2W700C1B, 1, 2, 2, 100, 2
2W700C20B, 20, 77, 77, 1900, 25
2W700C25B, 25, 88, 88, 2700, 30
2W700C2B, 2, 4, 4, 100, 4
2W700C5B, 5, 10, 10, 100, 10
2W800C10B, 10, 32, 32, 600, 15
2W800C15B, 15, 40, 40, 1100, 20
2W800C1B, 1, 1, 1, 100, 1
2W800C20B, 20, 50, 50, 1500, 25
2W800C25B, 25, 135, 135, 2400, 28
2W800C2B, 2, 12, 12, 200, 5
2W800C5B, 5, 12, 12, 300, 10
2W900C10B, 10, 17, 17, 1400, 15
2W900C15B, 15, 44, 44, 2700, 19
2W900C1B, 1, 1, 1, 100, 1
2W900C20B, 20, 113, 113, 800, 25
2W900C25B, 25, 126, 126, 2200, 30
2W900C2B, 2, 5, 5, 100, 5
2W900C5B, 5, 15, 15, 1000, 10
3W1000C10B, 10, 69, 69, 400, 15
3W1000C15B, 15, 283, 283, 900, 16
3W1000C1B, 1, 1, 1, 100, 1
3W1000C20B, 20, 110, 110, 1000, 25
3W1000C25B, 25, 441, 441, 500, 27
3W1000C2B, 2, 2, 2, 100, 2
3W1000C5B, 5, 6, 6, 100, 6
3W100C10B, 10, 14, 14, 100, 14
3W100C15B, 15, 25, 25, 2000, 20
3W100C1B, 1, 1, 1, 100, 1
3W100C20B, 20, 30, 30, 1600, 24
3W100C25B, 25, 50, 50, 2200, 28
3W100C2B, 2, 5, 5, 100, 5
3W100C5B, 5, 12, 12, 700, 9
3W1100C10B, 10, 47, 47, 400, 14
3W1100C15B, 15, 155, 155, 1000, 19
3W1100C1B, 1, 2, 2, 100, 2
3W1100C20B, 20, 343, 343, 400, 19
3W1100C25B, 25, 420, 420, 900, 26
3W1100C2B, 2, 2, 2, 100, 2
3W1100C5B, 5, 12, 12, 300, 8
3W1200C10B, 10, 163, 163, 600, 11
3W1200C15B, 15, 98, 98, 700, 19
3W1200C1B, 1, 2, 2, 100, 2
3W1200C20B, 20, 94, 94, 700, 24
3W1200C25B, 25, 153, 153, 900, 28
3W1200C2B, 2, 3, 3, 100, 3
3W1200C5B, 5, 42, 42, 300, 9
3W1300C10B, 10, 43, 43, 1100, 12
3W1300C15B, 15, 172, 172, 500, 15
3W1300C1B, 1, 1, 1, 100, 1
3W1300C20B, 20, 146, 146, 300, 24
3W1300C25B, 25, 243, 243, 900, 26
3W1300C2B, 2, 2, 2, 100, 2
3W1300C5B, 5, 8, 8, 100, 8
3W200C10B, 10, 12, 12, 100, 12
3W200C15B, 15, 21, 21, 600, 20
3W200C1B, 1, 1, 1, 100, 1
3W200C20B, 20, 33, 33, 1700, 25
3W200C25B, 25, 48, 48, 2100, 30
3W200C2B, 2, 2, 2, 100, 2
3W200C5B, 5, 6, 6, 100, 6
3W300C10B, 10, 14, 14, 100, 14
3W300C15B, 15, 21, 21, 500, 20
3W300C1B, 1, 1, 1, 100, 1
3W300C20B, 20, 36, 36, 1300, 23
3W300C25B, 25, 73, 73, 1600, 29
3W300C2B, 2, 2, 2, 100, 2
3W300C5B, 5, 9, 9, 100, 9
3W400C10B, 10, 14, 14, 100, 14
3W400C15B, 15, 22, 22, 1300, 20
3W400C1B, 1, 1, 1, 100, 1
3W400C20B, 20, 44, 44, 2000, 25
3W400C25B, 25, 44, 44, 1000, 30
3W400C2B, 2, 4, 4, 100, 4
3W400C5B, 5, 8, 8, 100, 8
3W500C10B, 10, 22, 22, 1300, 15
3W500C15B, 15, 41, 41, 2000, 19
3W500C1B, 1, 1, 1, 100, 1
3W500C20B, 20, 59, 59, 2700, 25
3W500C25B, 25, 68, 68, 2400, 30
3W500C2B, 2, 2, 2, 100, 2
3W500C5B, 5, 10, 10, 100, 10
3W600C10B, 10, 20, 20, 1500, 14
3W600C15B, 15, 23, 23, 1100, 20
3W600C1B, 1, 1, 1, 100, 1
3W600C20B, 20, 49, 49, 2100, 25
3W600C25B, 25, 102, 102, 2500, 30
3W600C2B, 2, 4, 4, 100, 4
3W600C5B, 5, 14, 14, 800, 10
3W700C10B, 10, 32, 32, 1900, 13
3W700C15B, 15, 58, 58, 1900, 18
3W700C1B, 1, 1, 1, 100, 1
3W700C20B, 20, 71, 71, 1600, 25
3W700C25B, 25, 130, 130, 2100, 29
3W700C2B, 2, 3, 3, 100, 3
3W700C5B, 5, 19, 19, 1100, 9
3W800C10B, 10, 16, 16, 200, 15
3W800C15B, 15, 46, 46, 2300, 16
3W800C1B, 1, 1, 1, 100, 1
3W800C20B, 20, 91, 91, 1700, 25
3W800C25B, 25, 180, 180, 2400, 26
3W800C2B, 2, 2, 2, 100, 2
3W800C5B, 5, 5, 5, 100, 5
3W900C10B, 10, 40, 40, 1700, 15
3W900C15B, 15, 15, 15, 100, 15
3W900C1B, 1, 1, 1, 100, 1
3W900C20B, 20, 86, 86, 1600, 23
3W900C25B, 25, 139, 139, 1400, 29
3W900C2B, 2, 2, 2, 100, 2
3W900C5B, 5, 5, 5, 100, 5
