experiment,PassiveBefore,PassiveAfter,ActiveBefore,ActiveAfter
0W1000C10B,1647,200,18,9
0W1000C15B,1671,201,64,8
0W1000C1B,1043,201,2,1
0W1000C20B,1813,201,85,17
0W1000C25B,2283,200,225,17
0W1000C2B,1039,201,2,2
0W1000C5B,1428,201,9,4
0W100C10B,359,101,26,9
0W100C15B,584,100,30,14
0W100C1B,122,101,2,1
0W100C20B,757,50,54,17
0W100C25B,228,49,28,25
0W100C2B,203,101,4,2
0W100C5B,223,101,14,2
0W1100C10B,1584,222,34,6
0W1100C15B,1660,221,59,11
0W1100C1B,1114,221,1,1
0W1100C20B,2065,221,94,17
0W1100C25B,2304,221,130,17
0W1100C2B,1225,221,2,2
0W1100C5B,1317,221,14,5
0W1200C10B,1500,241,46,4
0W1200C15B,1859,242,70,12
0W1200C1B,1307,241,1,1
0W1200C20B,1854,241,90,18
0W1200C25B,2125,241,152,20
0W1200C2B,1329,241,5,2
0W1200C5B,1488,241,7,5
0W1300C10B,1736,262,20,10
0W1300C15B,1869,261,81,8
0W1300C1B,1462,261,1,1
0W1300C20B,1914,261,130,15
0W1300C25B,1709,131,96,18
0W1300C2B,1377,261,4,2
0W1300C5B,1416,262,15,5
0W200C10B,499,102,11,10
0W200C16B,720,102,18,16
0W200C1B,251,101,1,1
0W200C21B,867,102,23,21
0W200C26B,1142,67,37,26
0W200C2B,369,102,2,2
0W200C5B,415,101,6,5
0W300C10B,703,102,12,10
0W300C15B,865,103,15,15
0W300C1B,333,101,1,1
0W300C20B,978,102,21,20
0W300C25B,1331,101,38,25
0W300C2B,368,101,2,2
0W300C5B,512,101,5,5
0W400C10B,732,136,10,10
0W400C15B,879,134,16,15
0W400C1B,413,134,1,1
0W400C20B,1054,134,24,20
0W400C25B,1503,134,60,24
0W400C2B,441,135,2,2
0W400C5B,504,134,5,5
0W500C10B,909,167,10,10
0W500C15B,987,166,19,15
0W500C1B,630,167,1,1
0W500C20B,1172,165,31,20
0W500C25B,1268,165,52,22
0W500C2B,626,167,2,2
0W500C5B,758,169,5,5
0W600C10B,1061,119,12,10
0W600C15B,1283,119,21,15
0W600C1B,636,121,2,1
0W600C20B,1413,121,33,19
0W600C25B,1667,121,45,25
0W600C2B,670,122,3,2
0W600C5B,905,201,8,5
0W700C10B,1142,140,13,10
0W700C15B,1386,142,25,14
0W700C1B,717,141,1,1
0W700C20B,1487,141,33,20
0W700C25B,1960,140,66,18
0W700C2B,804,141,2,2
0W700C5B,1043,141,8,5
0W800C10B,1166,161,24,9
0W800C15B,1483,160,23,15
0W800C1B,815,161,1,1
0W800C20B,1612,161,69,12
0W800C25B,2683,160,128,18
0W800C2B,866,161,5,2
0W800C5B,944,161,6,5
0W900C10B,1505,182,30,5
0W900C15B,1765,180,38,12
0W900C1B,967,182,3,0
0W900C20B,1871,181,49,17
0W900C25B,2381,182,142,17
0W900C2B,1001,181,3,2
0W900C5B,1264,181,5,5
1W1000C10B,1151,201,34,10
1W1000C15B,1344,201,49,11
1W1000C1B,1018,201,1,1
1W1000C20B,1479,201,139,12
1W1000C25B,1709,201,142,18
1W1000C2B,1025,201,4,2
1W1000C5B,1059,201,7,5
1W100C10B,722,51,10,10
1W100C15B,1021,51,22,14
1W100C1B,176,99,1,1
1W100C20B,1366,21,30,18
1W100C25B,2310,11,81,18
1W100C2B,257,100,2,2
1W100C5B,437,100,6,5
1W1100C10B,1284,221,13,10
1W1100C15B,1356,221,51,15
1W1100C1B,1175,221,3,1
1W1100C20B,1496,221,54,18
1W1100C25B,1791,221,204,18
1W1100C2B,1122,221,2,2
1W1100C5B,1190,221,9,5
1W1200C10B,1686,241,67,7
1W1200C15B,1465,241,69,9
1W1200C1B,1359,241,1,1
1W1200C20B,1482,241,76,15
1W1200C25B,1837,241,179,14
1W1200C2B,1438,241,24,0
1W1200C5B,1520,241,65,2
1W1300C10B,1385,261,77,5
1W1300C15B,1455,261,208,6
1W1300C1B,1315,261,1,1
1W1300C20B,1608,260,394,2
1W1300C25B,1833,261,555,7
1W1300C2B,1305,261,2,2
1W1300C5B,1345,261,5,5
1W200C10B,783,70,14,9
1W200C15B,1137,69,17,15
1W200C1B,241,100,1,1
1W200C20B,1675,42,28,20
1W200C25B,2288,45,43,24
1W200C2B,289,101,2,2
1W200C5B,407,101,5,5
1W300C10B,955,101,14,10
1W300C15B,1414,100,19,15
1W300C1B,353,100,2,1
1W300C20B,1539,101,25,20
1W300C25B,2534,101,43,22
1W300C2B,418,151,3,2
1W300C5B,580,100,6,5
1W400C10B,913,134,14,10
1W400C15B,1391,135,21,15
1W400C1B,452,134,1,1
1W400C20B,1696,135,25,20
1W400C25B,2187,135,41,25
1W400C2B,462,134,2,2
1W400C5B,634,135,6,5
1W500C10B,1066,168,10,10
1W500C15B,1322,167,29,14
1W500C1B,542,167,1,1
1W500C20B,1539,167,32,20
1W500C25B,1898,167,32,25
1W500C2B,560,167,3,2
1W500C5B,691,167,5,5
1W600C10B,1015,121,12,10
1W600C15B,1518,201,18,15
1W600C1B,625,121,1,1
1W600C20B,1686,121,74,17
1W600C25B,1925,201,53,25
1W600C2B,667,121,3,2
1W600C5B,772,201,5,5
1W700C10B,1316,141,12,10
1W700C15B,1672,141,26,14
1W700C1B,951,141,1,1
1W700C20B,1685,141,54,19
1W700C25B,2248,141,77,21
1W700C2B,1053,141,4,2
1W700C5B,1038,141,9,4
1W800C10B,1037,161,19,10
1W800C15B,1171,161,25,15
1W800C1B,811,161,1,1
1W800C20B,1633,161,85,14
1W800C25B,2019,161,193,16
1W800C2B,836,161,5,2
1W800C5B,926,161,10,4
1W900C10B,1150,181,20,10
1W900C15B,1380,181,52,12
1W900C1B,975,181,2,1
1W900C20B,1508,181,79,14
1W900C25B,1820,181,234,13
