shows the number of passive trajectories after some filter
experiment, True, Tracked, OneGroup, FramesThreshold, Remains
0W1000C10B, 1000, 1647, 1413, 200, 998
0W1000C15B, 1000, 1671, 1427, 200, 996
0W1000C1B, 1000, 1043, 1031, 100, 1031
0W1000C20B, 1000, 1813, 1523, 200, 999
0W1000C25B, 1000, 2283, 1792, 200, 994
0W1000C2B, 1000, 1039, 1035, 100, 1035
0W1000C5B, 1000, 1428, 1290, 200, 1000
0W100C10B, 100, 359, 319, 200, 100
0W100C15B, 100, 584, 512, 200, 100
0W100C1B, 100, 122, 119, 100, 119
0W100C20B, 100, 757, 563, 200, 97
0W100C25B, 100, 228, 202, 200, 96
0W100C2B, 100, 203, 178, 200, 99
0W100C5B, 100, 223, 200, 200, 101
0W1100C10B, 1100, 1584, 1442, 200, 1101
0W1100C15B, 1100, 1660, 1487, 200, 1100
0W1100C1B, 1100, 1114, 1112, 100, 1112
0W1100C20B, 1100, 2065, 1701, 200, 1100
0W1100C25B, 1100, 2304, 1849, 200, 1100
0W1100C2B, 1100, 1225, 1186, 200, 1100
0W1100C5B, 1100, 1317, 1261, 200, 1100
0W1200C10B, 1200, 1500, 1371, 200, 1199
0W1200C15B, 1200, 1859, 1602, 200, 1198
0W1200C1B, 1200, 1307, 1275, 200, 1200
0W1200C20B, 1200, 1854, 1551, 200, 1199
0W1200C25B, 1200, 2125, 1722, 200, 1199
0W1200C2B, 1200, 1329, 1280, 200, 1200
0W1200C5B, 1200, 1488, 1376, 200, 1201
0W1300C10B, 1300, 1736, 1535, 200, 1299
0W1300C15B, 1300, 1869, 1622, 200, 1295
0W1300C1B, 1300, 1462, 1384, 200, 1299
0W1300C20B, 1300, 1914, 1635, 200, 1300
0W1300C25B, 1300, 1709, 1529, 200, 1298
0W1300C2B, 1300, 1377, 1350, 100, 1350
0W1300C5B, 1300, 1416, 1371, 200, 1300
0W200C10B, 200, 499, 430, 200, 202
0W200C16B, 200, 720, 614, 200, 199
0W200C1B, 200, 251, 245, 100, 245
0W200C21B, 200, 867, 696, 200, 202
0W200C26B, 200, 1142, 929, 200, 198
0W200C2B, 200, 369, 305, 200, 200
0W200C5B, 200, 415, 381, 200, 200
0W300C10B, 300, 703, 620, 200, 301
0W300C15B, 300, 865, 749, 200, 300
0W300C1B, 300, 333, 328, 100, 328
0W300C20B, 300, 978, 824, 200, 298
0W300C25B, 300, 1331, 1037, 200, 297
0W300C2B, 300, 368, 352, 100, 352
0W300C5B, 300, 512, 457, 200, 299
0W400C10B, 400, 732, 672, 200, 401
0W400C15B, 400, 879, 780, 200, 398
0W400C1B, 400, 413, 411, 100, 411
0W400C20B, 400, 1054, 904, 200, 401
0W400C25B, 400, 1503, 1197, 200, 397
0W400C2B, 400, 441, 433, 100, 433
0W400C5B, 400, 504, 493, 200, 400
0W500C10B, 500, 909, 817, 200, 497
0W500C15B, 500, 987, 870, 200, 495
0W500C1B, 500, 630, 602, 200, 499
0W500C20B, 500, 1172, 939, 200, 493
0W500C25B, 500, 1268, 1017, 200, 489
0W500C2B, 500, 626, 597, 200, 499
0W500C5B, 500, 758, 714, 200, 501
0W600C10B, 600, 1061, 941, 200, 590
0W600C15B, 600, 1283, 1140, 200, 590
0W600C1B, 600, 636, 630, 100, 630
0W600C20B, 600, 1413, 1222, 200, 592
0W600C25B, 600, 1667, 1375, 200, 594
0W600C2B, 600, 670, 659, 100, 659
0W600C5B, 600, 905, 833, 200, 593
0W700C10B, 700, 1142, 1060, 200, 700
0W700C15B, 700, 1386, 1260, 200, 701
0W700C1B, 700, 717, 711, 100, 711
0W700C20B, 700, 1487, 1306, 200, 696
0W700C25B, 700, 1960, 1616, 200, 698
0W700C2B, 700, 804, 794, 200, 699
0W700C5B, 700, 1043, 943, 200, 700
0W800C10B, 800, 1166, 1057, 200, 800
0W800C15B, 800, 1483, 1286, 200, 799
0W800C1B, 800, 815, 813, 100, 813
0W800C20B, 800, 1612, 1365, 200, 798
0W800C25B, 800, 2683, 2061, 200, 798
0W800C2B, 800, 866, 857, 100, 857
0W800C5B, 800, 944, 908, 200, 800
0W900C10B, 900, 1505, 1320, 200, 901
0W900C15B, 900, 1765, 1496, 200, 898
0W900C1B, 900, 967, 949, 100, 949
0W900C20B, 900, 1871, 1555, 200, 900
0W900C25B, 900, 2381, 1824, 200, 901
0W900C2B, 900, 1001, 976, 200, 900
0W900C5B, 900, 1264, 1157, 200, 900
1W1000C10B, 1000, 1151, 1094, 200, 1000
1W1000C15B, 1000, 1344, 1210, 200, 998
1W1000C1B, 1000, 1018, 1008, 100, 1008
1W1000C20B, 1000, 1479, 1323, 200, 998
