shows the number of passive trajectories that has only one group
experiment, passiveTracked, passiveAfter
0W1000C10B, 1647, 1413
0W1000C15B, 1671, 1427
0W1000C1B, 1043, 1031
0W1000C20B, 1813, 1523
0W1000C25B, 2283, 1792
0W1000C2B, 1039, 1035
0W1000C5B, 1428, 1290
0W100C10B, 359, 319
0W100C15B, 584, 512
0W100C1B, 122, 119
0W100C20B, 757, 563
0W100C25B, 228, 202
0W100C2B, 203, 178
0W100C5B, 223, 200
0W1100C10B, 1584, 1442
0W1100C15B, 1660, 1487
0W1100C1B, 1114, 1112
0W1100C20B, 2065, 1701
0W1100C25B, 2304, 1849
0W1100C2B, 1225, 1186
0W1100C5B, 1317, 1261
0W1200C10B, 1500, 1371
0W1200C15B, 1859, 1602
0W1200C1B, 1307, 1275
0W1200C20B, 1854, 1551
0W1200C25B, 2125, 1722
0W1200C2B, 1329, 1280
0W1200C5B, 1488, 1376
0W1300C10B, 1736, 1535
0W1300C15B, 1869, 1622
0W1300C1B, 1462, 1384
0W1300C20B, 1914, 1635
0W1300C25B, 1709, 1529
0W1300C2B, 1377, 1350
0W1300C5B, 1416, 1371
0W200C10B, 499, 430
0W200C16B, 720, 614
0W200C1B, 251, 245
0W200C21B, 867, 696
0W200C26B, 1142, 929
0W200C2B, 369, 305
0W200C5B, 415, 381
0W300C10B, 703, 620
0W300C15B, 865, 749
0W300C1B, 333, 328
0W300C20B, 978, 824
0W300C25B, 1331, 1037
0W300C2B, 368, 352
0W300C5B, 512, 457
0W400C10B, 732, 672
0W400C15B, 879, 780
0W400C1B, 413, 411
0W400C20B, 1054, 904
0W400C25B, 1503, 1197
0W400C2B, 441, 433
0W400C5B, 504, 493
0W500C10B, 909, 817
0W500C15B, 987, 870
0W500C1B, 630, 602
0W500C20B, 1172, 939
0W500C25B, 1268, 1017
0W500C2B, 626, 597
0W500C5B, 758, 714
0W600C10B, 1061, 941
0W600C15B, 1283, 1140
0W600C1B, 636, 630
0W600C20B, 1413, 1222
0W600C25B, 1667, 1375
0W600C2B, 670, 659
0W600C5B, 905, 833
0W700C10B, 1142, 1060
0W700C15B, 1386, 1260
0W700C1B, 717, 711
0W700C20B, 1487, 1306
0W700C25B, 1960, 1616
0W700C2B, 804, 794
0W700C5B, 1043, 943
0W800C10B, 1166, 1057
0W800C15B, 1483, 1286
0W800C1B, 815, 813
0W800C20B, 1612, 1365
0W800C25B, 2683, 2061
0W800C2B, 866, 857
0W800C5B, 944, 908
0W900C10B, 1505, 1320
0W900C15B, 1765, 1496
0W900C1B, 967, 949
0W900C20B, 1871, 1555
0W900C25B, 2381, 1824
0W900C2B, 1001, 976
0W900C5B, 1264, 1157
1W1000C10B, 1151, 1094
1W1000C15B, 1344, 1210
